,BusID:ID,Primary voltage rating (kV):double,Secondary voltage rating (kV):double,kVA rating (kVA):double, %R:double, %X:double,Previous Bus:int,X:double,Y:double,Year:int,Month:int,Day:int,Hour:int,CurrVal:double,"PrevNode Val:double",PrevVal:double
0,T_1003,13.8,0.208,112.5,2.43,3.87,1002,8.9,13.36,2017,1,5,5,19.935,0.0,19.947
1,T_1004,13.8,0.208,75.0,2.27,1.91,1002,7.77,14.11,2017,1,5,5,6.508,0.0,6.845
2,T_1005,13.8,0.208,75.0,2.27,1.91,1004,6.4,14.11,2017,1,5,5,5.178,6.508,5.466
3,T_1008,13.8,0.208,45.0,2.52,1.73,1006,3.71,14.11,2017,1,5,5,14.987,5.68,15.267
4,T_1009,13.8,0.208,75.0,2.27,1.91,1008,2.4,14.11,2017,1,5,5,8.72,14.987,8.876
5,T_1010,13.8,0.208,45.0,2.52,1.73,1009,1.4,14.11,2017,1,5,5,5.944,8.72,7.697
6,T_1013,13.8,0.208,45.0,2.52,1.73,1012,2.4,11.23,2017,1,5,5,3.23,1.211,3.485
7,T_2002,13.8,0.208,300.0,1.8,4.5,2001,9.56,7.58,2017,1,5,5,34.68,0.0,34.4
8,T_2003,13.8,0.208,75.0,2.27,1.91,2002,8.3,7.58,2017,1,5,5,12.523,34.68,12.416
9,T_2005,13.8,0.208,45.0,2.52,1.73,2004,5.77,7.58,2017,1,5,5,8.333,0.0,8.374
10,T_2010,13.8,0.208,45.0,2.52,1.73,2006,3.68,7.58,2017,1,5,5,2.555,0.0,2.565
11,T_2011,13.8,0.208,45.0,2.52,1.73,2010,2.71,7.58,2017,1,5,5,5.78,2.555,5.928
12,T_2029,13.8,0.208,75.0,2.27,1.91,2028,5.58,5.31,2017,1,5,5,11.06,2.1535,10.614
13,T_2030,13.8,0.208,75.0,2.27,1.91,2029,5.58,4.73,2017,1,5,5,6.778,11.06,6.494
14,T_2032,13.8,0.208,45.0,2.52,1.73,2027,6.61,6.45,2017,1,5,5,1.178,0.0,1.252
15,T_2034,13.8,0.208,45.0,2.52,1.73,2033,7.6,5.79,2017,1,5,5,3.636,0.0,4.172
16,T_2035,13.8,0.208,75.0,2.27,1.91,2033,8.46,6.44,2017,1,5,5,5.319,0.0,5.214
17,T_2037,13.8,0.208,45.0,2.52,1.73,2036,10.21,6.45,2017,1,5,5,5.121,0.0,5.154
18,T_2040,13.8,0.208,300.0,1.8,4.5,2039,11.07,4.98,2017,1,5,5,108.04,0.0,107.12
19,T_2041,13.8,0.208,45.0,2.52,1.73,2040,11.88,4.98,2017,1,5,5,1.931,108.04,2.424
20,T_2042,13.8,0.208,75.0,2.27,1.91,2039,10.21,4.39,2017,1,5,5,5.018,0.0,5.456
21,T_2043,13.8,0.208,75.0,2.27,1.91,2042,10.21,3.63,2017,1,5,5,6.364,5.018,6.444
22,T_2052,13.8,0.208,225.0,2.2,4.65,2051,6.16,2.81,2017,1,5,5,73.191,6.458,72.514
23,T_2053,13.8,0.208,225.0,2.2,4.65,2044,8.76,2.1,2017,1,5,5,7.04,0.0,4.8
24,T_2058,13.8,0.208,300.0,1.8,4.5,2057,9.9,1.4,2017,1,5,5,32.56,0.0,32.56
25,T_3002,13.8,0.208,45.0,2.52,1.73,3003,12.5,12.16,2017,1,5,5,18.742,0.0,18.606
26,T_3004,13.8,0.208,45.0,2.52,1.73,3003,12.5,13.43,2017,1,5,5,2.172,0.0,2.208
27,T_3006,13.8,0.208,45.0,2.52,1.73,3005,13.36,13.91,2017,1,5,5,4.426,0.0,4.373
28,T_3007,13.8,0.208,75.0,2.27,1.91,3006,13.36,14.71,2017,1,5,5,7.747,4.426,10.921
29,T_3031,13.8,0.208,45.0,2.52,1.73,3030,18.26,10.91,2017,1,5,5,4.726,0.0,4.3
30,T_3032,13.8,0.208,45.0,2.52,1.73,3031,18.26,10.4,2017,1,5,5,7.289,4.726,6.263
31,T_3033,13.8,0.208,45.0,2.52,1.73,3032,18.26,9.9,2017,1,5,5,10.134,7.289,11.489
32,T_3034,13.8,0.208,45.0,2.52,1.73,3033,18.26,9.39,2017,1,5,5,5.391,10.134,6.016
33,T_3035,13.8,0.208,45.0,2.52,1.73,3030,18.25,12.05,2017,1,5,5,10.506,0.0,8.008
34,T_3036,13.8,0.208,45.0,2.52,1.73,3035,18.27,12.68,2017,1,5,5,2.801,10.506,2.703
35,T_3037,13.8,0.208,45.0,2.52,1.73,3036,18.25,13.32,2017,1,5,5,5.635,2.801,5.685
36,T_3038,13.8,0.208,45.0,2.52,1.73,3037,18.25,13.95,2017,1,5,5,4.656,5.635,4.767
37,T_3039,13.8,0.208,45.0,2.52,1.73,3038,18.26,14.59,2017,1,5,5,5.287125,4.656,4.89625
38,T_3047,13.8,0.208,45.0,2.52,1.73,3046,20.88,12.16,2017,1,5,5,10.906,0.0,11.11
39,T_3048,13.8,0.208,45.0,2.52,1.73,3046,21.17,10.92,2017,1,5,5,1.693,0.0,1.946
40,T_3049,13.8,0.208,45.0,2.52,1.73,3048,22.0,10.92,2017,1,5,5,2.748,1.693,2.027
41,T_3050,13.8,0.208,45.0,2.52,1.73,3049,22.82,10.92,2017,1,5,5,2.738,2.748,2.474
42,T_3051,13.8,0.208,45.0,2.52,1.73,3050,23.64,10.92,2017,1,5,5,3.923,2.738,4.253
43,T_3052,13.8,0.208,45.0,2.52,1.73,3051,24.46,10.91,2017,1,5,5,2.296,3.923,2.417
44,T_3054,13.8,0.208,45.0,2.52,1.73,3053,19.51,14.19,2017,1,5,5,1.12,0.0,1.256
45,T_3070,13.8,0.208,45.0,2.52,1.73,3069,16.65,8.27,2017,1,5,5,0.855,0.0,0.918
46,T_3071,13.8,0.208,45.0,2.52,1.73,3070,16.65,7.71,2017,1,5,5,3.278,0.855,2.933
47,T_3072,13.8,0.208,45.0,2.52,1.73,3071,16.65,7.16,2017,1,5,5,2.15,3.278,2.253
48,T_3073,13.8,0.208,45.0,2.52,1.73,3069,15.76,8.82,2017,1,5,5,2.595,0.0,2.699
49,T_3074,13.8,0.208,45.0,2.52,1.73,3073,14.98,8.82,2017,1,5,5,4.816,2.595,3.966
50,T_3077,13.8,0.208,500.0,1.6,5.9,3076,20.73,8.82,2017,1,5,5,84.859,0.0,58.7267
51,T_3078,13.8,0.208,45.0,2.52,1.73,3077,21.49,8.82,2017,1,5,5,5.05745,84.859,3.6
52,T_3081,13.8,0.208,45.0,2.52,1.73,3080,19.21,7.42,2017,1,5,5,2.029,0.0,1.939
